ano_publicacao_contrato;numero_processo_formatado;numero_contrato;nome_empresarial_nome_fornecedor;numero_item_pedido;codigo_item_material_servico_numerico;item_material_servico;unnamed_7;unnamed_8;unnamed_9;codigo_elemento_item_despesa;nome_elemento_item_despesa;quantidade_item_pedido;valor_unitario_referencia_item_pedido;valor_total_referencia_item_pedido
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;7;1973495;"CABO EQUIPAMENTO/INSTRUMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: CABO SENSOR DE TEMPERATURA E FLUXO; EQUIPAMENTO: UMIDIFICADOR DRAGER; MARCA/MODELO: DRAGER/EVITA V600/V300COM NEO/BABYLOG VN600/VN500; REFERENCIA: 8416600;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2362,5;35437,5
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;8;1918052;"ADAPTADOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: ADAPTADOR (CUVETE) VIAS AEREAS PEDI/NEO ETCO2 REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR/MONITOR MULTIPARAMENTO; MARCA/MODELO: DRAGER / VENTILADORES LINHA V, MONITORES INFINITY; REFERENCIA: 6870280;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1522,54;22838,1
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;8;1973495;"CABO EQUIPAMENTO/INSTRUMENTO MEDICO-HOSPITALAR - IDENTIFICACAO: CABO SENSOR DE TEMPERATURA E FLUXO; EQUIPAMENTO: UMIDIFICADOR DRAGER; MARCA/MODELO: DRAGER/EVITA V600/V300COM NEO/BABYLOG VN600/VN500; REFERENCIA: 8416600;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;2362,5;11812,5
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;9;1069950;"COTOVELO PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: COTOVELO 90 GRAUS; EQUIPAMENTO: VENTILADOR PULMONA; MARCA/MODELO: DRAGER/OXYLOG 2000; REFERENCIA: 8412235;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;544,0;1088,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;9;1918052;"ADAPTADOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: ADAPTADOR (CUVETE) VIAS AEREAS PEDI/NEO ETCO2 REUTILIZAVEL; EQUIPAMENTO: VENTILADOR PULMONAR/MONITOR MULTIPARAMENTO; MARCA/MODELO: DRAGER / VENTILADORES LINHA V, MONITORES INFINITY; REFERENCIA: 6870280;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1522,54;15225,4
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;10;1069950;"COTOVELO PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: COTOVELO 90 GRAUS; EQUIPAMENTO: VENTILADOR PULMONA; MARCA/MODELO: DRAGER/OXYLOG 2000; REFERENCIA: 8412235;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;544,0;7072,0
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;10;1979523;"VALVULA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: VALVULA EXPIRATORIA NEONATAL; EQUIPAMENTO: VENTILADORES PULMONARES; MARCA/MODELO: DRAGER/ EVITA V600/800 VN600/800; REFERENCIA: 8415296;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;3497,9;24485,3
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;11;1069926;"VALVULA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: DE VENTILACAO (EXPIRATORIA), EM POLICARBONATO; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000; REFERENCIA: 8412001;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1965,22;3930,44
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;11;1979523;"VALVULA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: VALVULA EXPIRATORIA NEONATAL; EQUIPAMENTO: VENTILADORES PULMONARES; MARCA/MODELO: DRAGER/ EVITA V600/800 VN600/800; REFERENCIA: 8415296;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;3497,9;10493,7
2026;0501044 000244/2025;9487813;DRAGER DO BRASIL LTDA;12;1069926;"VALVULA PARA EQUIPAMENTOS MEDICO-HOSPITALARES - IDENTIFICACAO: DE VENTILACAO (EXPIRATORIA), EM POLICARBONATO; EQUIPAMENTO: RESPIRADOR/VENTILADOR PULMONAR; MARCA/MODELO: DRAGER/OXYLOG 2000; REFERENCIA: 8412001;";;;;3024;PECAS E ACESSORIOS P/ EQUIP.  E OUTROS MATERIAIS PERMANENTES;1;1965,22;25547,86
